,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
119,256,11.0,0.05714040000020759,[0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999428596,
120,512,9.0,0.12688580000030925,[1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99998731142,
121,0,11.0,0.00019729999985429458,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1000,512,1000,exponential,1000,,0.001,999.9990135004874,0.005
122,1,10.0,0.0008569999999963329,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],1000,512,1000,exponential,1000,,0.001,999.9957150091806,0.005
123,2,12.0,0.0016569999997955165,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],1000,512,1000,exponential,1000,,0.001,999.9917150343215,0.005
124,4,11.0,0.003376699999535049,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1000,512,1000,exponential,1000,,0.001,999.9831166425278,0.005
125,8,4.0,0.004927599999973609,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],1000,512,1000,exponential,1000,,0.001,999.9753623035132,0.005
126,16,7.0,0.00816949999989447,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],1000,512,1000,exponential,1000,,0.001,999.9591533342483,0.005
127,32,7.0,0.013459400000101596,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],1000,512,1000,exponential,1000,,0.001,999.9327052643919,0.005
128,64,13.0,0.02528470000015659,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],1000,512,1000,exponential,1000,,0.001,999.8735844911132,0.005
129,128,13.0,0.045513999999457155,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],1000,512,1000,exponential,1000,,0.001,999.7724558920911,0.005
130,256,11.0,0.08506039999974746,[0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1],1000,512,1000,exponential,1000,,0.001,999.5747884280767,0.005
131,512,9.0,0.15894979999939096,[1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0],1000,512,1000,exponential,1000,,0.001,999.2055667293421,0.005
